200
0	1	201
1	2	202
2	3	203
3	4	204
4	5	206
5	6	207
6	6	208
7	7	209
8	5	211
9	8	212
10	9	213
11	10	214
12	11	216
13	12	217
14	13	218
15	5	219
16	14	221
17	1	222
18	2	223
19	15	224
20	5	226
21	16	227
22	17	228
23	18	229
24	16	231
25	19	232
26	20	233
27	21	228
28	14	235
29	13	236
30	7	237
31	10	238
32	22	240
33	23	241
34	24	242
35	25	243
36	5	245
37	26	246
38	27	247
39	28	248
40	29	250
41	30	251
42	31	247
43	32	252
44	31	254
45	33	255
46	34	256
47	35	257
48	36	259
49	37	260
50	36	261
51	36	262
52	38	264
53	20	265
54	39	266
55	40	267
56	31	269
57	33	270
58	41	271
59	42	272
60	43	274
61	44	275
62	45	276
63	46	277
64	47	279
65	48	280
66	49	281
67	50	282
68	51	284
69	52	285
70	53	286
71	54	287
72	55	289
73	56	290
74	57	291
75	58	292
76	59	294
77	60	295
78	61	296
79	2	297
80	14	299
81	12	300
82	62	301
83	63	302
84	14	304
85	64	305
86	65	306
87	66	307
88	67	309
89	68	310
90	45	311
91	33	312
92	69	314
93	70	315
94	71	316
95	9	317
96	72	319
97	73	320
98	74	321
99	75	322
100	76	324
101	77	324
102	78	325
103	79	326
104	80	328
105	81	329
106	82	330
107	83	331
108	76	333
109	84	334
110	36	335
111	85	336
112	86	338
113	87	339
114	88	340
115	2	341
116	89	343
117	90	344
118	79	345
119	91	346
120	11	348
121	92	349
122	93	350
123	94	348
124	95	352
125	86	353
126	11	354
127	66	355
128	96	357
129	89	358
130	97	359
131	79	360
132	70	362
133	44	362
134	2	363
135	98	364
136	96	366
137	99	367
138	7	368
139	97	369
140	38	371
141	88	372
142	88	373
143	100	374
144	101	376
145	2	377
146	102	378
147	103	379
148	79	381
149	87	382
150	82	383
151	104	384
152	105	386
153	79	387
154	106	388
155	107	389
156	108	391
157	109	392
158	110	393
159	111	394
160	112	396
161	79	397
162	113	398
163	97	399
164	114	324
165	97	401
166	7	402
167	99	403
168	56	405
169	115	406
170	116	407
171	117	408
172	42	410
173	30	411
174	118	412
175	95	413
176	66	415
177	119	416
178	120	417
179	121	418
180	122	420
181	84	421
182	123	420
183	96	422
184	96	424
185	124	425
186	38	426
187	125	427
188	79	429
189	76	430
190	97	431
191	126	432
192	96	434
193	127	435
194	66	436
195	128	437
196	79	439
197	48	440
198	129	441
199	6	442
